frame_no,car_id,bounding_box_car,license_plate_bounding_box,license_plate_bounding_box_score,lp_country,license_number,license_number_score
14,1.0,[2181.0305950240336 1217.1829640105848 2830.845866171843 1817.4872635917704],[2425.351318359375 1636.30419921875 2600.03759765625 1705.60888671875],0.674304187297821,UK,MD51VSV
14,1.0,[2181.0305950240336 1217.1829640105848 2830.845866171843 1817.4872635917704],[2425.351318359375 1636.30419921875 2600.03759765625 1705.60888671875],0.674304187297821,UK,MD51VSV
22,1.0,[2180.9787727050143 1252.4502652197568 2854.4599868054047 1875.5856342432114],[2432.245849609375 1688.0416259765625 2612.2353515625 1753.8277587890625],0.678746223449707,UK,ST51VSU
14,1.0,[2181.0305950240336 1217.1829640105848 2830.845866171843 1817.4872635917704],[2425.351318359375 1636.30419921875 2600.03759765625 1705.60888671875],0.674304187297821,UK,MD51VSV
22,1.0,[2180.9787727050143 1252.4502652197568 2854.4599868054047 1875.5856342432114],[2432.245849609375 1688.0416259765625 2612.2353515625 1753.8277587890625],0.678746223449707,UK,ST51VSU
26,1.0,[2180.603883181774 1271.2355921303651 2867.1714209977663 1902.4031505068988],[2438.5546875 1710.4947509765625 2620.588623046875 1788.876708984375],0.6652927994728088,UK,MZ51VSU
14,1.0,[2181.0305950240336 1217.1829640105848 2830.845866171843 1817.4872635917704],[2425.351318359375 1636.30419921875 2600.03759765625 1705.60888671875],0.674304187297821,UK,MD51VSV
22,1.0,[2180.9787727050143 1252.4502652197568 2854.4599868054047 1875.5856342432114],[2432.245849609375 1688.0416259765625 2612.2353515625 1753.8277587890625],0.678746223449707,UK,ST51VSU
26,1.0,[2180.603883181774 1271.2355921303651 2867.1714209977663 1902.4031505068988],[2438.5546875 1710.4947509765625 2620.588623046875 1788.876708984375],0.6652927994728088,UK,MZ51VSU
27,1.0,[2180.5940916208006 1277.2543309834218 2870.2058460125295 1911.8999940441422],[2444.70068359375 1722.9796142578125 2623.43359375 1798.5626220703125],0.6708269119262695,UK,HE51VSU
14,1.0,[2181.0305950240336 1217.1829640105848 2830.845866171843 1817.4872635917704],[2425.351318359375 1636.30419921875 2600.03759765625 1705.60888671875],0.674304187297821,UK,MD51VSV
22,1.0,[2180.9787727050143 1252.4502652197568 2854.4599868054047 1875.5856342432114],[2432.245849609375 1688.0416259765625 2612.2353515625 1753.8277587890625],0.678746223449707,UK,ST51VSU
26,1.0,[2180.603883181774 1271.2355921303651 2867.1714209977663 1902.4031505068988],[2438.5546875 1710.4947509765625 2620.588623046875 1788.876708984375],0.6652927994728088,UK,MZ51VSU
27,1.0,[2180.5940916208006 1277.2543309834218 2870.2058460125295 1911.8999940441422],[2444.70068359375 1722.9796142578125 2623.43359375 1798.5626220703125],0.6708269119262695,UK,HE51VSU
51,1.0,[2198.2488432432147 1416.6172167903321 2961.964908024799 2110.358795491711],[2486.455810546875 1897.572509765625 2681.410400390625 1980.894287109375],0.6516702175140381,UK,ND51VSU
