epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6173.84,1.0057,0.42683,1.09414,0.98206,0.94743,0.97419,0.70607,1.05218,0.39589,1.08572,0.000538,0.000538,0.000538
44,6317.53,0.99128,0.41943,1.08732,0.98213,0.95156,0.97452,0.71194,1.04477,0.39289,1.08286,0.000527,0.000527,0.000527
45,6460.17,0.98856,0.41567,1.09386,0.98873,0.94396,0.97698,0.71276,1.04735,0.39058,1.08803,0.000516,0.000516,0.000516
46,6602.49,0.99471,0.41726,1.08777,0.98342,0.94579,0.97621,0.71685,1.05297,0.39394,1.08477,0.000505,0.000505,0.000505
47,6743.91,0.99375,0.41803,1.0891,0.98555,0.94715,0.9765,0.71493,1.04842,0.3924,1.08419,0.000494,0.000494,0.000494
48,6885.97,0.97955,0.4126,1.07987,0.97988,0.95412,0.97643,0.70937,1.05261,0.38644,1.0765,0.000483,0.000483,0.000483
49,7027.54,0.99024,0.4225,1.08438,0.97988,0.954,0.97709,0.71075,1.05408,0.38558,1.08844,0.000472,0.000472,0.000472
50,7169.11,0.98227,0.40331,1.08371,0.98295,0.95308,0.97575,0.71042,1.05207,0.38309,1.09208,0.000461,0.000461,0.000461
51,7310.76,0.97366,0.40522,1.07928,0.97812,0.95734,0.97606,0.71487,1.0474,0.38004,1.08188,0.00045,0.00045,0.00045
52,7452.17,0.97198,0.40498,1.08208,0.9836,0.94897,0.97755,0.71524,1.04608,0.37957,1.07882,0.000439,0.000439,0.000439
53,7593.77,0.96645,0.40228,1.07208,0.97828,0.95672,0.97779,0.71689,1.04204,0.37384,1.07411,0.000428,0.000428,0.000428
54,7735.35,0.97714,0.40302,1.0737,0.98311,0.95353,0.97657,0.7188,1.04102,0.37867,1.07514,0.000417,0.000417,0.000417
55,7877.61,0.96926,0.40544,1.0706,0.98538,0.95186,0.97822,0.72215,1.03971,0.37615,1.07891,0.000406,0.000406,0.000406
56,8018.83,0.96575,0.40039,1.07334,0.97725,0.95878,0.97779,0.71871,1.0447,0.37599,1.08024,0.000395,0.000395,0.000395
57,8160.03,0.9575,0.39222,1.06918,0.9876,0.94579,0.97878,0.71958,1.04866,0.37577,1.0785,0.000384,0.000384,0.000384
58,8301.46,0.95499,0.3982,1.07262,0.98393,0.9486,0.97684,0.71937,1.04472,0.37236,1.08151,0.000373,0.000373,0.000373
59,8443.02,0.95576,0.39389,1.0713,0.98725,0.95246,0.97779,0.71198,1.04661,0.37095,1.08509,0.000362,0.000362,0.000362
60,8584.89,0.95494,0.39468,1.07266,0.98456,0.95216,0.9782,0.71855,1.04503,0.36804,1.07439,0.000351,0.000351,0.000351
61,8726.05,0.94792,0.39121,1.06723,0.98518,0.95262,0.97818,0.72045,1.04505,0.36778,1.07176,0.00034,0.00034,0.00034
62,8867.36,0.93245,0.38348,1.06246,0.98772,0.95304,0.97893,0.72231,1.04189,0.36735,1.07073,0.000329,0.000329,0.000329
63,9011.68,0.92528,0.38201,1.05466,0.98359,0.95582,0.9776,0.71617,1.04515,0.36723,1.07175,0.000318,0.000318,0.000318
64,9160.47,0.93503,0.37738,1.05565,0.98445,0.95152,0.9785,0.71684,1.05288,0.36679,1.07887,0.000307,0.000307,0.000307
65,9309.3,0.92229,0.37462,1.05767,0.98263,0.95125,0.97797,0.72117,1.04488,0.36309,1.0796,0.000296,0.000296,0.000296
66,9458.1,0.93054,0.37656,1.06212,0.98381,0.95125,0.97868,0.72325,1.03982,0.36213,1.07595,0.000285,0.000285,0.000285
67,9607.54,0.91934,0.37861,1.05579,0.98859,0.94775,0.9783,0.71887,1.04641,0.3658,1.08145,0.000274,0.000274,0.000274
68,9756.69,0.91573,0.37717,1.05118,0.98304,0.95062,0.97634,0.71965,1.04765,0.36988,1.0797,0.000263,0.000263,0.000263
