frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
18,2.0,[674.9176029803294 1484.4200389509422 1400.0952918777025 2135.3543272306883],[915.0133666992188 1925.994873046875 1130.5433349609375 1985.364990234375],0.6884863376617432,NA13NRU,0.3609611059597919
18,1.0,[2178.6080278962713 1236.6312000601329 2838.8703224940605 1846.404913765955],[2431.31103515625 1674.41796875 2606.6982421875 1727.173583984375],0.5510683655738831,ND51YSU,0.4071536462693534
19,2.0,[671.1415288566844 1490.0354954990826 1396.6766408919761 2137.4781286049324],[925.0149536132812 1932.95947265625 1132.6455078125 1990.160888671875],0.6805360913276672,NA13NRU,0.3837927858658005
19,1.0,[2176.0652506616843 1240.5397099725328 2837.5722769561426 1852.3674321257831],[2432.1181640625 1678.6380615234375 2606.2900390625 1732.7047119140625],0.39591142535209656,HV51YSU,0.30226075124204194
20,1.0,[2179.064786052711 1244.2252421274757 2845.6506212105064 1860.278330227221],[2433.193603515625 1686.7093505859375 2611.413818359375 1739.6165771484375],0.6820828914642334,HV51VSU,0.3163036309135047
21,2.0,[661.2192264022299 1504.7119829631108 1393.4510539602154 2150.0812908566227],[938.0302734375 1964.68701171875 1138.4320068359375 2010.4619140625],0.2637222111225128,NA13NRU,0.3837146200966067
22,1.0,[2180.9787727050143 1252.4502652197568 2854.4599868054047 1875.5856342432114],[2435.97216796875 1695.844482421875 2612.13720703125 1751.293212890625],0.7113561630249023,XD51VSU,0.21028130750467874
22,2.0,[657.8862877824197 1508.7973383661097 1393.5617706568444 2152.740188189685],[941.7473754882812 1973.1661376953125 1128.4708251953125 2012.949462890625],0.28251466155052185,NA13NRU,0.452190845024461
22,6.0,[1172.181050710286 1071.2365242142594 1744.8254199076232 1503.0154088361717],[1385.383056640625 1354.42724609375 1530.42041015625 1400.7628173828125],0.48746398091316223,GX15OGJ,0.1666834117337088
23,1.0,[2181.617593673485 1256.794997008651 2859.516713560041 1882.604404181538],[2434.699462890625 1704.94482421875 2616.083740234375 1757.898193359375],0.7059375047683716,NU51VSU,0.3929948661711463
23,2.0,[652.6199000058818 1513.3115863468452 1391.943187151776 2153.2596896845816],[912.7035522460938 1973.06396484375 1123.4739990234375 2032.9193115234375],0.6939855813980103,NA13MRU,0.9262805188784219
24,2.0,[647.7345452370071 1518.064984056392 1389.9748843740394 2155.20131094074],[905.8751220703125 1981.9801025390625 1128.1380615234375 2041.3201904296875],0.6979228854179382,NA13MRU,0.3020944341715211
25,2.0,[643.3354114216493 1524.1712330388746 1388.9735193974857 2156.9475242946774],[921.556640625 1985.415283203125 1118.372314453125 2048.985107421875],0.6986942291259766,NA13NRU,0.49741726903984285
25,1.0,[2181.5687651619546 1267.9407749320785 2864.8581272215106 1896.8692003508459],[2441.021484375 1719.400634765625 2619.77490234375 1771.0078125],0.6972835063934326,MJ51VSU,0.1518797354388669
26,2.0,[641.0896041502708 1528.6311501276816 1390.7337304808455 2156.692658227332],[878.128662109375 1991.93408203125 1116.9879150390625 2057.96484375],0.7186856269836426,NA13NRU,0.1963393413209536
26,1.0,[2180.603883181774 1271.2355921303651 2867.1714209977663 1902.4031505068988],[2439.776611328125 1725.482421875 2616.69384765625 1780.3115234375],0.4312894344329834,NJ51TSU,0.043549141337739745
27,1.0,[2180.5940916208006 1277.2543309834218 2870.2058460125295 1911.8999940441422],[2444.659423828125 1734.3544921875 2622.517578125 1787.7996826171875],0.6974095702171326,MO51VSU,0.048959664382177526
28,1.0,[2180.8817440010052 1282.6592379748056 2869.514336791276 1919.0902424156272],[2444.926025390625 1737.2794189453125 2625.9990234375 1793.8963623046875],0.7143363356590271,CO51VSU,0.19008914791518952
28,2.0,[631.4589427716045 1544.572383066135 1382.408598186386 2158.9262445760687],[899.3349609375 2020.5311279296875 1114.1341552734375 2076.7861328125],0.6964076161384583,MA13MRU,0.3304816881304687
29,2.0,[628.372188509603 1553.8900632806985 1380.3236217866888 2160.8418035153804],[888.0507202148438 2026.6336669921875 1113.8175048828125 2087.981201171875],0.7400113940238953,NA13MRU,0.2568830872225661
