Timestamp,CapturedFrames,ExpectedFrames,FPS,Latency_ms,FrameDrop_%
09:45:03,59,75.3,11.76,78.08,21.60
09:45:08,64,75.1,12.78,85.21,14.83
09:45:13,64,75.4,12.74,78.39,15.07
09:45:18,64,75.1,12.78,91.89,14.82
09:45:23,65,76.0,12.82,78.99,14.50
09:45:28,64,75.6,12.70,93.38,15.36
